,HorseNameCHI,date,raceid,location_id,distance,DG,Act_RS,wlast,first,firsttwo,firstthree
2682,及時行樂,2018-06-03,699,0,1.6,Outer,Late,6.0,0,1,1
2712,白鷺飛翔,2018-12-16,263,0,1.6,Outer,Late,1.0,0,0,0
2713,白鷺飛翔,2018-11-25,208,0,1.4,Inner,Late,3.0,0,0,0
2714,白鷺飛翔,2018-11-04,153,0,1.4,MiddleOuter,Late,2.0,0,0,0
2715,白鷺飛翔,2018-06-16,741,0,1.4,Inner,MiddleLate,3.0,0,0,0
2716,白鷺飛翔,2018-05-27,685,0,1.4,MiddleInner,Late,1.0,1,1,1
2717,白鷺飛翔,2018-03-11,493,0,1.6,Inner,Late,8.0,0,0,0
2718,白鷺飛翔,2018-02-18,437,0,1.4,Outer,Late,3.0,0,1,1
2719,白鷺飛翔,2018-01-28,382,0,1.6,Inner,MiddleLate,4.0,0,1,1
2727,幻影飛鷹,2018-12-26,288,1,1.2,MiddleInner,Pace,1.0,0,0,0
2728,幻影飛鷹,2018-11-21,197,1,1.65,Outer,Pace,2.0,0,0,0
2729,幻影飛鷹,2018-10-24,126,1,1.2,Outer,Pace,2.0,0,0,0
2730,幻影飛鷹,2018-09-22,42,0,1.2,MiddleInner,Pace,2.0,0,0,0
2731,幻影飛鷹,2018-09-05,16,1,1.2,MiddleOuter,Pace,2.0,0,0,0
2732,幻影飛鷹,2018-03-21,516,1,1.2,Outer,MiddleFront,3.0,0,0,1
2733,幻影飛鷹,2018-02-28,465,0,1.2,Inner,Late,1.0,0,0,0
2734,幻影飛鷹,2018-02-10,417,0,1.2,MiddleInner,Pace,1.0,0,0,0
2735,幻影飛鷹,2018-01-17,352,1,1.2,Outer,Pace,2.0,0,0,0
2762,喜蓮彩星,2018-12-29,298,0,2.0,Outer,Late,2.0,0,0,1
2763,喜蓮彩星,2018-11-28,211,1,1.8,Inner,Late,4.0,0,0,0
2764,喜蓮彩星,2018-11-14,179,1,1.8,Outer,Late,4.0,0,0,0
2765,喜蓮彩星,2018-11-04,152,0,1.8,MiddleOuter,MiddleLate,1.0,0,0,1
2766,喜蓮彩星,2018-10-21,112,0,1.8,MiddleInner,MiddleLate,2.0,0,0,0
2767,喜蓮彩星,2018-10-03,71,1,1.8,Outer,Late,5.0,0,0,0
2768,喜蓮彩星,2018-09-22,43,0,1.8,MiddleOuter,Late,1.0,0,0,0
2769,喜蓮彩星,2018-09-12,36,1,1.65,MiddleOuter,Late,2.0,0,0,0
2770,喜蓮彩星,2018-06-27,756,1,1.8,MiddleOuter,Late,1.0,0,0,0
2771,喜蓮彩星,2018-06-10,716,0,1.8,MiddleOuter,MiddleFront,2.0,0,0,0
2772,喜蓮彩星,2018-05-23,672,1,1.8,Inner,MiddleFront,2.0,0,0,0
2802,陽光大地,2018-12-19,267,0,1.65,Inner,MiddleLate,1.0,0,0,0
2803,陽光大地,2018-11-18,182,0,1.65,Outer,Pace,1.0,0,0,0
2804,陽光大地,2018-10-31,140,0,1.2,MiddleInner,MiddleLate,2.0,0,0,0
2805,陽光大地,2018-10-13,94,0,1.2,MiddleInner,MiddleLate,2.0,0,0,0
2806,陽光大地,2018-04-15,569,0,1.2,Outer,MiddleLate,4.0,0,0,0
2807,陽光大地,2018-02-28,460,0,1.2,MiddleOuter,Pace,3.0,0,0,1
2808,陽光大地,2018-02-10,414,0,1.65,MiddleInner,Pace,1.0,0,0,0
2809,陽光大地,2018-01-17,350,1,1.65,MiddleInner,MiddleFront,1.0,0,0,0
2810,陽光大地,2018-01-01,313,0,1.2,MiddleInner,MiddleLate,1.0,0,0,0
2826,西域猴王,2018-12-29,294,0,1.4,Outer,MiddleFront,3.0,0,1,1
2827,西域猴王,2018-12-19,268,0,1.2,MiddleInner,Late,1.0,0,0,0
2828,西域猴王,2018-12-02,221,0,1.2,MiddleOuter,MiddleFront,3.0,0,0,0
2829,西域猴王,2018-11-10,164,0,1.2,Outer,MiddleLate,2.0,0,0,0
2830,西域猴王,2018-10-31,141,0,1.2,MiddleOuter,MiddleLate,3.0,0,0,0
2831,西域猴王,2018-10-07,80,0,1.2,MiddleOuter,Pace,2.0,0,0,0
2832,西域猴王,2018-01-10,331,1,1.2,Outer,Late,1.0,0,0,0
2850,勁哥兒,2018-12-23,279,0,2.0,MiddleOuter,Late,1.0,0,0,0
2851,勁哥兒,2018-12-05,235,1,1.8,MiddleInner,MiddleFront,3.0,1,1,1
2852,勁哥兒,2018-11-14,180,1,1.65,Inner,MiddleLate,1.0,1,1,1
2853,勁哥兒,2018-10-03,71,1,1.8,MiddleInner,MiddleLate,2.0,0,1,1
2854,勁哥兒,2018-07-08,781,0,2.0,MiddleOuter,Late,2.0,0,0,0
